instanta,instanta slug,api-slug,judet,tip,curte apel,link just-ro
Judecătoria REGHIN,JudecatoriaREGHIN,JudecatoriaREGHIN,MUREŞ,jd,Curtea de Apel TÂRGU MUREŞ,289
Judecătoria SIGHIŞOARA,JudecatoriaSIGHISOARA,JudecatoriaSIGHISOARA,MUREŞ,jd,Curtea de Apel TÂRGU MUREŞ,308
Judecătoria TÂRGU MUREŞ,JudecatoriaTARGUMURES,JudecatoriaTARGUMURES,MUREŞ,jd,Curtea de Apel TÂRGU MUREŞ,320
Judecătoria TÂRNAVENI,JudecatoriaTARNAVENI,JudecatoriaTARNAVENI,MUREŞ,jd,Curtea de Apel TÂRGU MUREŞ,323
Curtea de Apel TIMIŞOARA,CurteadeApelTIMISOARA,CurteadeApelTIMISOARA,,ca,,59
Tribunalul ARAD,TribunalulARAD,TribunalulARAD,ARAD,tr,Curtea de Apel TIMIŞOARA,108
Judecătoria CHIŞINEU CRIŞ,JudecatoriaCHISINEUCRIS,JudecatoriaCHISINEUCRIS,ARAD,jd,Curtea de Apel TIMIŞOARA,210
Judecătoria GURA HONŢ,JudecatoriaGURAHONT,JudecatoriaGURAHONT,ARAD,jd,Curtea de Apel TIMIŞOARA,238
Judecătoria INEU,JudecatoriaINEU,JudecatoriaINEU,ARAD,jd,Curtea de Apel TIMIŞOARA,246
Judecătoria LIPOVA,JudecatoriaLIPOVA,JudecatoriaLIPOVA,ARAD,jd,Curtea de Apel TIMIŞOARA,250
Judecătoria ARAD,JudecatoriaARAD,JudecatoriaARAD,ARAD,jd,Curtea de Apel TIMIŞOARA,55
Tribunalul CARAŞ SEVERIN,TribunalulCARASSEVERIN,TribunalulCARASSEVERIN,CARAŞ SEVERIN,tr,Curtea de Apel TIMIŞOARA,115
Judecătoria CARANSEBEŞ,JudecatoriaCARANSEBES,JudecatoriaCARANSEBES,CARAŞ SEVERIN,jd,Curtea de Apel TIMIŞOARA,208
Judecătoria MOLDOVA-NOUĂ,JudecatoriaMOLDOVANOUa,JudecatoriaMOLDOVANOUA,CARAŞ SEVERIN,jd,Curtea de Apel TIMIŞOARA,261
Judecătoria ORAVIŢA,JudecatoriaORAVITA,JudecatoriaORAVITA,CARAŞ SEVERIN,jd,Curtea de Apel TIMIŞOARA,273
Judecătoria REŞITA,JudecatoriaRESITA,JudecatoriaRESITA,CARAŞ SEVERIN,jd,Curtea de Apel TIMIŞOARA,290
Tribunalul Militar TIMIŞOARA,TribunalulMilitarTIMISOARA,TribunalulMilitarTIMISOARA,TIMIŞ,tm,Curtea de Apel TIMIŞOARA,751
Tribunalul TIMIŞ,TribunalulTIMIS,TribunalulTIMIS,TIMIŞ,tr,Curtea de Apel TIMIŞOARA,30
Judecătoria FĂGET,JudecatoriaFaGET,JudecatoriaFAGET,TIMIŞ,jd,Curtea de Apel TIMIŞOARA,832
Judecătoria DETA,JudecatoriaDETA,JudecatoriaDETA,TIMIŞ,jd,Curtea de Apel TIMIŞOARA,220
Judecătoria LUGOJ,JudecatoriaLUGOJ,JudecatoriaLUGOJ,TIMIŞ,jd,Curtea de Apel TIMIŞOARA,252
Judecătoria SÂNNICOLAUL MARE,JudecatoriaSANNICOLAULMARE,JudecatoriaSANNICOLAULMARE,TIMIŞ,jd,Curtea de Apel TIMIŞOARA,295
Judecătoria TIMIŞOARA,JudecatoriaTIMISOARA,JudecatoriaTIMISOARA,TIMIŞ,jd,Curtea de Apel TIMIŞOARA,325
