instanta,instanta slug,api-slug,judet,tip,curte apel,link just-ro
Judecătoria CLUJ-NAPOCA,JudecatoriaCLUJNAPOCA,JudecatoriaCLUJNAPOCA,CLUJ,jd,Curtea de Apel CLUJ,211
Judecătoria DEJ,JudecatoriaDEJ,JudecatoriaDEJ,CLUJ,jd,Curtea de Apel CLUJ,219
Judecătoria GHERLA,JudecatoriaGHERLA,JudecatoriaGHERLA,CLUJ,jd,Curtea de Apel CLUJ,235
Judecătoria HUEDIN,JudecatoriaHUEDIN,JudecatoriaHUEDIN,CLUJ,jd,Curtea de Apel CLUJ,242
Judecătoria TURDA,JudecatoriaTURDA,JudecatoriaTURDA,CLUJ,jd,Curtea de Apel CLUJ,328
Tribunalul MARAMUREŞ,TribunalulMARAMURES,TribunalulMARAMURES,MARAMUREŞ,tr,Curtea de Apel CLUJ,100
Judecătoria BAIA MARE,JudecatoriaBAIAMARE,JudecatoriaBAIAMARE,MARAMUREŞ,jd,Curtea de Apel CLUJ,182
Judecătoria DRAGOMIREŞTI,JudecatoriaDRAGOMIRESTI,JudecatoriaDRAGOMIRESTI,MARAMUREŞ,jd,Curtea de Apel CLUJ,224
Judecătoria SIGHETU MARMAŢIEI,JudecatoriaSIGHETUMARMATIEI,JudecatoriaSIGHETUMARMATIEI,MARAMUREŞ,jd,Curtea de Apel CLUJ,307
Judecătoria TÂRGU LAPUŞ,JudecatoriaTARGULAPUS,JudecatoriaTARGULAPUS,MARAMUREŞ,jd,Curtea de Apel CLUJ,319
Judecătoria VIŞEU DE SUS,JudecatoriaVISEUDESUS,JudecatoriaVISEUDESUS,MARAMUREŞ,jd,Curtea de Apel CLUJ,336
Tribunalul SĂLAJ,TribunalulSaLAJ,TribunalulSALAJ,SĂLAJ,tr,Curtea de Apel CLUJ,84
Judecătoria ŞIMLEUL SILVANIEI,JudecatoriaSIMLEULSILVANIEI,JudecatoriaSIMLEULSILVANIEI,SĂLAJ,jd,Curtea de Apel CLUJ,309
Judecătoria ZALĂU,JudecatoriaZALaU,JudecatoriaZALAU,SĂLAJ,jd,Curtea de Apel CLUJ,337
Judecătoria JIBOU,JudecatoriaJIBOU,JudecatoriaJIBOU,SĂLAJ,jd,Curtea de Apel CLUJ,1752
Curtea de Apel CONSTANŢA,CurteadeApelCONSTANTA,CurteadeApelCONSTANTA,,ca,,36
Tribunalul CONSTANŢA,TribunalulCONSTANTA,TribunalulCONSTANTA,CONSTANŢA,tr,Curtea de Apel CONSTANŢA,118
Judecătoria CONSTANŢA,JudecatoriaCONSTANTA,JudecatoriaCONSTANTA,CONSTANŢA,jd,Curtea de Apel CONSTANŢA,212
Judecătoria MANGALIA,JudecatoriaMANGALIA,JudecatoriaMANGALIA,CONSTANŢA,jd,Curtea de Apel CONSTANŢA,254
Judecătoria MEDGIDIA,JudecatoriaMEDGIDIA,JudecatoriaMEDGIDIA,CONSTANŢA,jd,Curtea de Apel CONSTANŢA,256
Judecătoria HÂRŞOVA,JudecatoriaHARSOVA,JudecatoriaHARSOVA,CONSTANŢA,jd,Curtea de Apel CONSTANŢA,842
Tribunalul TULCEA,TribunalulTULCEA,TribunalulTULCEA,TULCEA,tr,Curtea de Apel CONSTANŢA,88
Judecătoria BABADAG,JudecatoriaBABADAG,JudecatoriaBABADAG,TULCEA,jd,Curtea de Apel CONSTANŢA,179
Judecătoria MACIN,JudecatoriaMACIN,JudecatoriaMACIN,TULCEA,jd,Curtea de Apel CONSTANŢA,253
Judecătoria TULCEA,JudecatoriaTULCEA,JudecatoriaTULCEA,TULCEA,jd,Curtea de Apel CONSTANŢA,327
Curtea de Apel CRAIOVA,CurteadeApelCRAIOVA,CurteadeApelCRAIOVA,,ca,,54
Tribunalul DOLJ,TribunalulDOLJ,TribunalulDOLJ,DOLJ,tr,Curtea de Apel CRAIOVA,63
Judecătoria BĂILEŞTI,JudecatoriaBaILESTI,JudecatoriaBAILESTI,DOLJ,jd,Curtea de Apel CRAIOVA,183
Judecătoria CALAFAT,JudecatoriaCALAFAT,JudecatoriaCALAFAT,DOLJ,jd,Curtea de Apel CRAIOVA,201
Judecătoria CRAIOVA,JudecatoriaCRAIOVA,JudecatoriaCRAIOVA,DOLJ,jd,Curtea de Apel CRAIOVA,215
Judecătoria FILIAŞI,JudecatoriaFILIASI,JudecatoriaFILIASI,DOLJ,jd,Curtea de Apel CRAIOVA,230
Judecătoria SEGARCEA,JudecatoriaSEGARCEA,JudecatoriaSEGARCEA,DOLJ,jd,Curtea de Apel CRAIOVA,304
Tribunalul GORJ,TribunalulGORJ,TribunalulGORJ,GORJ,tr,Curtea de Apel CRAIOVA,95
Judecătoria MOTRU,JudecatoriaMOTRU,JudecatoriaMOTRU,GORJ,jd,Curtea de Apel CRAIOVA,263
Judecătoria NOVACI,JudecatoriaNOVACI,JudecatoriaNOVACI,GORJ,jd,Curtea de Apel CRAIOVA,267
Judecătoria TÂRGU-CĂRBUNEŞTI,JudecatoriaTARGUCaRBUNESTI,JudecatoriaTARGUCARBUNESTI,GORJ,jd,Curtea de Apel CRAIOVA,317
Judecătoria TÂRGU JIU,JudecatoriaTARGUJIU,JudecatoriaTARGUJIU,GORJ,jd,Curtea de Apel CRAIOVA,318
Tribunalul MEHEDINŢI,TribunalulMEHEDINTI,TribunalulMEHEDINTI,MEHEDINŢI,tr,Curtea de Apel CRAIOVA,101
Judecătoria BAIA DE ARAMĂ,JudecatoriaBAIADEARAMa,JudecatoriaBAIADEARAMA,MEHEDINŢI,jd,Curtea de Apel CRAIOVA,181
Judecătoria DROBETA-TURNU SEVERIN,JudecatoriaDROBETATURNUSEVERIN,JudecatoriaDROBETATURNUSEVERIN,MEHEDINŢI,jd,Curtea de Apel CRAIOVA,225
Judecătoria ORŞOVA,JudecatoriaORSOVA,JudecatoriaORSOVA,MEHEDINŢI,jd,Curtea de Apel CRAIOVA,274
Judecătoria STREHAIA,JudecatoriaSTREHAIA,JudecatoriaSTREHAIA,MEHEDINŢI,jd,Curtea de Apel CRAIOVA,313
